# PressureOS compact Simplified-Chinese pinyin lexicon
# Generated from Rime Luna Pinyin; see THIRD_PARTY_NOTICES.md
a	啊	吖
aa	啊啊
budebu	不得不
budeerzhi	不得而知
budeliao	不得了
budeng	不等
budengyu	不等於
budeyi	不得已
budi	不低	不敌
budianying	部电影
budiao	不掉
buding	补丁	不定
budingqi	不定期
budiyu	不低於
budong	不懂	不动
budongchan	不动产
budongde	不懂的	不懂得
budu	不读
buduan	不断
buduande	不断地
buduandi	不断地
buduanfazhan	不断发展
buduangengxin	不断更新
buduankuoda	不断扩大
buduantigao	不断提高
buduanwanshan	不断完善
buduanxuexi	不断学习
buduanzengjia	不断增加
budui	不对	部队
buduicheng	不对称
buduijin	不对劲
buduo	不多
buduoshuo	不多说
bue	不饿
